# of SRs,Community Board
381,01 BROOKLYN
381,14 BROOKLYN
382,04 BROOKLYN
382,11 MANHATTAN
382,17 BROOKLYN
384,01 STATEN ISLAND
388,09 MANHATTAN
391,13 QUEENS
392,05 BRONX
393,08 BROOKLYN
394,01 STATEN ISLAND
394,11 MANHATTAN
394,14 BROOKLYN
394,14 BROOKLYN
395,04 BROOKLYN
397,01 BROOKLYN
399,11 MANHATTAN
400,09 BRONX
402,07 MANHATTAN
402,11 MANHATTAN
403,11 BRONX
405,09 BRONX
408,03 BROOKLYN
408,03 MANHATTAN
408,11 MANHATTAN
409,03 QUEENS
409,11 MANHATTAN
411,14 BROOKLYN
417,08 BROOKLYN
417,09 BROOKLYN
418,05 BRONX
420,02 BROOKLYN
421,01 QUEENS
421,05 BROOKLYN
421,06 BRONX
424,08 BROOKLYN
425,03 BROOKLYN
426,14 BROOKLYN
427,03 QUEENS
429,01 BROOKLYN
430,09 BROOKLYN
431,09 BRONX
433,09 MANHATTAN
434,03 BROOKLYN
434,03 BROOKLYN
435,11 BRONX
436,10 QUEENS
437,09 BRONX
437,09 BROOKLYN
438,01 BROOKLYN
438,09 MANHATTAN
439,01 BROOKLYN
439,11 BRONX
439,14 BROOKLYN
440,05 BRONX
441,01 STATEN ISLAND
441,05 BRONX
442,09 MANHATTAN
443,05 BRONX
443,09 MANHATTAN
444,14 BROOKLYN
446,03 MANHATTAN
446,10 MANHATTAN
448,01 BROOKLYN
448,05 BRONX
449,08 BROOKLYN
449,10 MANHATTAN
450,01 STATEN ISLAND
453,10 QUEENS
454,07 MANHATTAN
455,04 BRONX
455,10 QUEENS
456,14 BROOKLYN
460,01 BROOKLYN
463,03 QUEENS
468,01 BROOKLYN
470,09 BRONX
471,17 BROOKLYN
472,10 MANHATTAN
473,03 MANHATTAN
473,10 MANHATTAN
474,13 QUEENS
475,01 QUEENS
477,01 QUEENS
479,12 BRONX
482,03 BROOKLYN
483,03 MANHATTAN
483,12 BRONX
484,12 BRONX
484,18 BROOKLYN
485,04 BROOKLYN
486,05 BRONX
487,05 BRONX
487,05 BRONX
489,04 BRONX
489,09 MANHATTAN
490,09 MANHATTAN
493,04 BRONX
494,03 BROOKLYN
494,07 BRONX
496,14 BROOKLYN
499,10 MANHATTAN
500,09 QUEENS
500,12 QUEENS
504,10 MANHATTAN
504,12 BRONX
509,10 MANHATTAN
512,09 MANHATTAN
513,10 QUEENS
514,03 MANHATTAN
516,01 QUEENS
516,09 MANHATTAN
516,10 MANHATTAN
516,17 BROOKLYN
516,18 BROOKLYN
517,03 MANHATTAN
519,04 BRONX
519,12 QUEENS
520,17 BROOKLYN
521,03 MANHATTAN
522,03 QUEENS
524,10 MANHATTAN
526,07 BRONX
529,01 STATEN ISLAND
529,17 BROOKLYN
532,07 BRONX
533,17 BROOKLYN
540,05 BRONX
541,04 BROOKLYN
546,04 BRONX
549,04 BRONX
549,09 MANHATTAN
549,12 MANHATTAN
554,05 BROOKLYN
556,04 BRONX
556,08 BROOKLYN
567,10 MANHATTAN
567,10 QUEENS
572,04 BRONX
572,10 MANHATTAN
574,09 QUEENS
581,04 BROOKLYN
583,03 MANHATTAN
584,04 BRONX
588,09 QUEENS
589,12 BRONX
591,05 BRONX
592,05 BROOKLYN
592,09 MANHATTAN
593,05 BROOKLYN
596,07 BRONX
597,09 QUEENS
600,07 BRONX
601,07 BRONX
602,04 BRONX
608,04 BRONX
609,04 BROOKLYN
624,12 QUEENS
629,03 MANHATTAN
631,05 BROOKLYN
631,12 QUEENS
637,05 BROOKLYN
641,10 MANHATTAN
644,04 BRONX
644,07 BRONX
650,07 BRONX
652,01 BROOKLYN
652,07 BRONX
652,18 BROOKLYN
654,07 BRONX
655,03 BROOKLYN
658,03 BROOKLYN
671,03 BROOKLYN
680,07 BRONX
681,03 MANHATTAN
683,03 MANHATTAN
698,12 MANHATTAN
725,12 MANHATTAN
741,09 QUEENS
747,03 BROOKLYN
773,04 BROOKLYN
775,07 BRONX
805,03 BROOKLYN
815,12 MANHATTAN
868,12 MANHATTAN
875,12 QUEENS
982,12 MANHATTAN
988,12 MANHATTAN
994,12 MANHATTAN
998,12 MANHATTAN
1013,12 MANHATTAN
1042,12 MANHATTAN
1193,12 MANHATTAN
